,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
148,2021-03-06,NL,21087,11951.0,9136.0,4.04,2.29,1.75,,,,,,
149,2021-03-06,PEI,8666,3159.0,5507.0,5.43,1.98,3.45,,,,,,
150,2021-03-06,NS,25011,10578.0,14433.0,2.55,1.08,1.47,,,,,,
151,2021-03-06,NB,26308,14166.0,12142.0,3.37,1.81,1.55,,,,,,
152,2021-03-06,QC,548031,548031.0,,6.39,6.39,,,,,,,
153,2021-03-06,ON,619315,347483.0,271832.0,4.2,2.36,1.84,,,,,,
154,2021-03-06,MB,59400,29038.0,30362.0,4.31,2.11,2.2,,,,,,
155,2021-03-06,SK,56493,29121.0,27372.0,4.79,2.47,2.32,,,,,,
156,2021-03-06,AB,202240,111622.0,90618.0,4.57,2.52,2.05,,,,,,
157,2021-03-06,BC,247428,160369.0,87059.0,4.81,3.12,1.69,,,,,,
158,2021-03-06,YT,14565,5972.0,8593.0,34.64,14.2,20.43,,,,,,
159,2021-03-06,NT,17053,5904.0,11149.0,37.76,13.07,24.69,,,,,,
160,2021-03-06,NU,9194,3736.0,5458.0,23.36,9.49,13.87,,,,,,
161,2021-03-13,CAN,2500024,1902260.0,597764.0,6.58,5.01,1.57,,,,,,
162,2021-03-13,NL,27418,18176.0,9242.0,5.25,3.48,1.77,,,,,,
163,2021-03-13,PEI,10386,4790.0,5596.0,6.51,3.0,3.51,,,,,,
164,2021-03-13,NS,31964,15851.0,16113.0,3.26,1.62,1.65,,,,,,
165,2021-03-13,NB,39168,27013.0,12155.0,5.01,3.46,1.56,,,,,,
166,2021-03-13,QC,714029,714029.0,,8.33,8.33,,,,,,,
167,2021-03-13,ON,874937,589270.0,285667.0,5.94,4.0,1.94,,,,,,
168,2021-03-13,MB,72282,39151.0,33131.0,5.24,2.84,2.4,,,,,,
169,2021-03-13,SK,69628,41272.0,28356.0,5.91,3.5,2.41,,,,,,
170,2021-03-13,AB,288021,196484.0,91537.0,6.51,4.44,2.07,,,,,,
171,2021-03-13,BC,323058,235878.0,87180.0,6.28,4.58,1.69,,,,,,
172,2021-03-13,YT,19177,8815.0,10362.0,45.6,20.96,24.64,,,,,,
173,2021-03-13,NT,19680,7293.0,12387.0,43.58,16.15,27.43,,,,,,
174,2021-03-13,NU,10276,4238.0,6038.0,26.11,10.77,15.34,,,,,,
175,2021-03-20,CAN,3402773,2772389.0,630384.0,8.95,7.29,1.66,,,,,,
176,2021-03-20,NL,38915,29354.0,9561.0,7.45,5.62,1.83,,,,,,
177,2021-03-20,PEI,12995,7380.0,5615.0,8.14,4.62,3.52,,,,,,
178,2021-03-20,NS,40820,20720.0,20100.0,4.17,2.12,2.05,,,,,,
179,2021-03-20,NB,49610,37446.0,12164.0,6.35,4.79,1.56,,,,,,
180,2021-03-20,QC,945382,945382.0,,11.03,11.03,,,,,,,
181,2021-03-20,ON,1225457,927042.0,298415.0,8.32,6.29,2.03,,,,,,
182,2021-03-20,MB,90578,47170.0,43408.0,6.57,3.42,3.15,,,,,,
183,2021-03-20,SK,101100,70505.0,30595.0,8.58,5.98,2.6,,,,,,
184,2021-03-20,AB,388455,295430.0,93025.0,8.78,6.68,2.1,,,,,,
185,2021-03-20,BC,453352,366072.0,87280.0,8.81,7.11,1.7,,,,,,
186,2021-03-20,YT,22144,11669.0,10475.0,52.66,27.75,24.91,,,,,,
187,2021-03-20,NT,22107,8826.0,13281.0,48.95,19.54,29.41,,,,,,
188,2021-03-20,NU,11858,5393.0,6465.0,30.13,13.7,16.43,,,,,,
189,2021-03-27,CAN,4533036,3864994.0,668042.0,11.93,10.17,1.76,,,,,,
190,2021-03-27,NL,51244,41597.0,9647.0,9.81,7.97,1.85,,,,,,
191,2021-03-27,PEI,15289,8890.0,6399.0,9.58,5.57,4.01,,,,,,
192,2021-03-27,NS,64681,40387.0,24294.0,6.6,4.12,2.48,,,,,,
193,2021-03-27,NB,80178,67983.0,12195.0,10.26,8.7,1.56,,,,,,
194,2021-03-27,QC,1218798,1218798.0,,14.21,14.21,,,,,,,
195,2021-03-27,ON,1672351,1363194.0,309157.0,11.35,9.25,2.1,,,,,,
196,2021-03-27,MB,117810,62870.0,54940.0,8.54,4.56,3.98,,,,,,
197,2021-03-27,SK,134559,98267.0,36292.0,11.42,8.34,3.08,,,,,,
198,2021-03-27,AB,504407,408276.0,96131.0,11.41,9.23,2.17,,,,,,
199,2021-03-27,BC,613835,526396.0,87439.0,11.92,10.23,1.7,,,,,,
200,2021-03-27,YT,23028,12268.0,10760.0,54.76,29.17,25.59,,,,,,
201,2021-03-27,NT,23715,9784.0,13931.0,52.51,21.66,30.85,,,,,,
202,2021-03-27,NU,13141,6284.0,6857.0,33.39,15.97,17.42,,,,,,
203,2021-04-03,CAN,5788394,5072294.0,716100.0,15.23,13.35,1.88,,,,,,
204,2021-04-03,NL,78734,69071.0,9663.0,15.08,13.23,1.85,,,,,,
205,2021-04-03,PEI,19810,12203.0,7607.0,12.41,7.64,4.77,,,,,,
206,2021-04-03,NS,83796,54265.0,29531.0,8.56,5.54,3.02,,,,,,
207,2021-04-03,NB,110912,98634.0,12278.0,14.19,12.62,1.57,,,,,,
208,2021-04-03,QC,1524363,1524363.0,,17.78,17.78,,,,,,,
209,2021-04-03,ON,2171573,1849755.0,321818.0,14.74,12.55,2.18,,,,,,
210,2021-04-03,MB,147826,86315.0,61511.0,10.72,6.26,4.46,,,,,,
211,2021-04-03,SK,182416,143258.0,39158.0,15.48,12.15,3.32,,,,,,
212,2021-04-03,AB,600594,488608.0,111986.0,13.58,11.05,2.53,,,,,,
213,2021-04-03,BC,807444,719837.0,87607.0,15.69,13.98,1.7,,,,,,
214,2021-04-03,YT,23414,11278.0,12136.0,55.68,26.82,28.86,,,,,,
215,2021-04-03,NT,24097,9628.0,14469.0,53.36,21.32,32.04,,,,,,
216,2021-04-03,NU,13415,5079.0,8336.0,34.09,12.91,21.18,,,,,,
217,2021-04-10,CAN,7339539,6520540.0,818999.0,19.31,17.16,2.15,,,,,,
218,2021-04-10,NL,100594,90920.0,9674.0,19.27,17.41,1.85,,,,,,
219,2021-04-10,PEI,26305,17549.0,8756.0,16.48,10.99,5.49,,,,,,
220,2021-04-10,NS,116818,85699.0,31119.0,11.93,8.75,3.18,,,,,,
221,2021-04-10,NB,135799,120022.0,15777.0,17.38,15.36,2.02,,,,,,
222,2021-04-10,QC,1873379,1857562.0,15817.0,21.85,21.66,0.18,,,,,,
223,2021-04-10,ON,2808322,2475356.0,332966.0,19.06,16.8,2.26,,,,,,
224,2021-04-10,MB,215922,147407.0,68515.0,15.65,10.69,4.97,,,,,,
225,2021-04-10,SK,249539,208047.0,41492.0,21.17,17.65,3.52,,,,,,
226,2021-04-10,AB,728291,563935.0,164356.0,16.47,12.75,3.72,,,,,,
227,2021-04-10,BC,1022228,934409.0,87819.0,19.86,18.15,1.71,,,,,,
228,2021-04-10,YT,23872,7096.0,16776.0,56.77,16.87,39.89,,,,,,
229,2021-04-10,NT,24740,8271.0,16469.0,54.78,18.31,36.47,,,,,,
230,2021-04-10,NU,13730,4267.0,9463.0,34.89,10.84,24.05,,,,,,
231,2021-04-17,CAN,9195113,8265016.0,930097.0,24.19,21.75,2.45,,,,,,
232,2021-04-17,NL,122808,113134.0,9674.0,23.52,21.67,1.85,,,,,,
233,2021-04-17,PEI,33368,23801.0,9567.0,20.9,14.91,5.99,,,,,,
234,2021-04-17,NS,173886,141404.0,32482.0,17.76,14.44,3.32,,,,,,
235,2021-04-17,NB,182669,163822.0,18847.0,23.37,20.96,2.41,,,,,,
236,2021-04-17,QC,2325260,2295027.0,30233.0,27.12,26.77,0.35,,,,,,
237,2021-04-17,ON,3493866,3148080.0,345786.0,23.71,21.37,2.35,,,,,,
238,2021-04-17,MB,267700,197933.0,69767.0,19.41,14.35,5.06,,,,,,
239,2021-04-17,SK,309369,266491.0,42878.0,26.25,22.61,3.64,,,,,,
240,2021-04-17,AB,932879,700554.0,232325.0,21.1,15.84,5.25,,,,,,
241,2021-04-17,BC,1289370,1201132.0,88238.0,25.05,23.33,1.71,,,,,,
242,2021-04-17,YT,24317,4218.0,20099.0,57.83,10.03,47.8,,,,,,
243,2021-04-17,NT,25369,6100.0,19269.0,56.17,13.51,42.67,,,,,,
244,2021-04-17,NU,14252,3320.0,10932.0,36.22,8.44,27.78,,,,,,
245,2021-04-24,CAN,11132592,10112143.0,1020449.0,29.29,26.61,2.69,,,,,,
246,2021-04-24,NL,147423,137727.0,9696.0,28.24,26.38,1.86,,,,,,
